kaisai_nen,kaisai_tsukihi,keibajo_code,kaisai_kai,kaisai_nichime,race_bango,bet_type,combo,weight_pct,suggested_amount
2026,0919,06,04,05,09,馬連,2-4,9.7,1000
2026,0919,06,04,05,09,馬連,2-3,22.3,2000
2026,0919,06,04,05,09,馬連,2-1,12.2,1000
2026,0919,06,04,05,09,三連複,2-6-9,17.3,1500
2026,0919,06,04,05,09,三連複,2-4-6,10.3,1000
2026,0919,06,04,05,09,三連複,2-3-6,23.7,2500
2026,0919,06,04,05,09,三連複,2-1-6,12.9,1500
2026,0919,06,04,05,09,三連複,2-4-9,4.3,500
2026,0919,06,04,05,09,三連複,2-3-9,9.8,1000
2026,0919,06,04,05,09,三連複,2-1-9,5.4,500
2026,0919,06,04,05,09,三連複,2-3-4,5.8,500
2026,0919,06,04,05,09,三連複,2-1-4,3.2,500
2026,0919,06,04,05,09,三連複,2-1-3,7.3,500
2026,0919,06,04,05,10,馬連,9-2,29.6,3000
2026,0919,06,04,05,10,馬連,9-12,23.3,2500
2026,0919,06,04,05,10,馬連,9-11,22.9,2500
2026,0919,06,04,05,10,馬連,9-10,6.6,500
2026,0919,06,04,05,10,馬連,9-1,17.6,2000
2026,0919,06,04,05,10,三連複,9-2-12,17.9,2000
2026,0919,06,04,05,10,三連複,9-2-11,17.7,2000
2026,0919,06,04,05,10,三連複,9-2-10,5.0,500
2026,0919,06,04,05,10,三連複,9-1-2,13.5,1500
2026,0919,06,04,05,10,三連複,9-11-12,13.9,1500
2026,0919,06,04,05,10,三連複,9-10-12,4.0,500
2026,0919,06,04,05,10,三連複,9-1-12,10.6,1000
2026,0919,06,04,05,10,三連複,9-10-11,3.9,500
2026,0919,06,04,05,10,三連複,9-1-11,10.5,1000
2026,0919,06,04,05,10,三連複,9-1-10,3.0,500
2026,0919,06,04,05,11,馬連,13-7,42.7,4500
2026,0919,06,04,05,11,馬連,13-9,19.1,2000
2026,0919,06,04,05,11,馬連,13-3,11.8,1000
2026,0919,06,04,05,11,馬連,13-14,10.0,1000
2026,0919,06,04,05,11,馬連,13-4,16.4,1500
2026,0919,06,04,05,11,三連複,13-7-9,22.4,2000
2026,0919,06,04,05,11,三連複,13-3-7,13.7,1500
2026,0919,06,04,05,11,三連複,13-7-14,11.7,1000
2026,0919,06,04,05,11,三連複,13-4-7,19.2,2000
2026,0919,06,04,05,11,三連複,13-3-9,6.2,500
2026,0919,06,04,05,11,三連複,13-9-14,5.3,500
2026,0919,06,04,05,11,三連複,13-4-9,8.6,1000
2026,0919,06,04,05,11,三連複,13-3-14,3.2,500
2026,0919,06,04,05,11,三連複,13-3-4,5.3,500
2026,0919,06,04,05,11,三連複,13-4-14,4.5,500
2026,0919,06,04,05,12,馬連,1-5,24.7,2500
2026,0919,06,04,05,12,馬連,1-6,14.4,1500
2026,0919,06,04,05,12,馬連,1-15,28.1,3000
2026,0919,06,04,05,12,馬連,1-7,16.8,1500
2026,0919,06,04,05,12,馬連,1-8,16.0,1500
2026,0919,06,04,05,12,三連複,1-5-6,9.1,1000
2026,0919,06,04,05,12,三連複,1-5-15,17.7,2000
2026,0919,06,04,05,12,三連複,1-5-7,10.6,1000
2026,0919,06,04,05,12,三連複,1-5-8,10.0,1000
2026,0919,06,04,05,12,三連複,1-6-15,10.3,1000
2026,0919,06,04,05,12,三連複,1-6-7,6.2,500
2026,0919,06,04,05,12,三連複,1-6-8,5.9,500
2026,0919,06,04,05,12,三連複,1-7-15,12.0,1000
2026,0919,06,04,05,12,三連複,1-8-15,11.4,1000
2026,0919,06,04,05,12,三連複,1-7-8,6.8,500
2026,0919,09,04,05,01,馬連,3-6,25.5,2500
2026,0919,09,04,05,01,馬連,3-4,43.7,4500
2026,0919,09,04,05,01,馬連,3-1,30.8,3000
2026,0919,09,04,05,01,三連複,3-4-6,34.4,3500
2026,0919,09,04,05,01,三連複,3-1-6,24.2,2500
2026,0919,09,04,05,01,三連複,3-1-4,41.4,4000
2026,0919,09,04,05,02,馬連,8-5,13.4,1500
2026,0919,09,04,05,02,馬連,8-6,42.3,4000
2026,0919,09,04,05,02,馬連,8-4,44.3,4500
2026,0919,09,04,05,02,三連複,8-5-6,18.7,2000
2026,0919,09,04,05,02,三連複,8-4-5,19.6,2000
2026,0919,09,04,05,02,三連複,8-4-6,61.8,6000
2026,0919,09,04,05,03,馬連,3-2,14.5,1500
2026,0919,09,04,05,03,馬連,3-5,37.3,3500
2026,0919,09,04,05,03,馬連,3-10,11.1,1000
2026,0919,09,04,05,03,馬連,3-1,19.1,2000
2026,0919,09,04,05,03,馬連,3-8,18.0,2000
2026,0919,09,04,05,03,三連複,3-2-5,14.2,1500
2026,0919,09,04,05,03,三連複,3-2-10,4.2,500
2026,0919,09,04,05,03,三連複,3-1-2,7.3,500
2026,0919,09,04,05,03,三連複,3-2-8,6.9,500
2026,0919,09,04,05,03,三連複,3-5-10,10.9,1000
2026,0919,09,04,05,03,三連複,3-1-5,18.8,2000
2026,0919,09,04,05,03,三連複,3-5-8,17.8,2000
2026,0919,09,04,05,03,三連複,3-1-10,5.6,500
2026,0919,09,04,05,03,三連複,3-8-10,5.3,500
2026,0919,09,04,05,03,三連複,3-1-8,9.1,1000
2026,0919,09,04,05,04,馬連,2-5,60.6,6000
2026,0919,09,04,05,04,馬連,2-8,12.5,1000
2026,0919,09,04,05,04,馬連,2-3,13.9,1500
2026,0919,09,04,05,04,馬連,2-12,7.1,500
2026,0919,09,04,05,04,馬連,2-10,5.9,500
2026,0919,09,04,05,04,三連複,2-5-8,25.6,2500
2026,0919,09,04,05,04,三連複,2-3-5,28.6,3000
2026,0919,09,04,05,04,三連複,2-5-12,14.6,1500
2026,0919,09,04,05,04,三連複,2-5-10,12.1,1000
2026,0919,09,04,05,04,三連複,2-3-8,5.9,500
2026,0919,09,04,05,04,三連複,2-8-12,3.0,500
2026,0919,09,04,05,04,三連複,2-8-10,2.5,500
2026,0919,09,04,05,04,三連複,2-3-12,3.4,500
2026,0919,09,04,05,04,三連複,2-3-10,2.8,500
2026,0919,09,04,05,04,三連複,2-10-12,1.4,500
2026,0919,09,04,05,05,馬連,5-2,17.5,1500
2026,0919,09,04,05,05,馬連,5-8,61.7,6000
2026,0919,09,04,05,05,馬連,5-9,8.6,1000
2026,0919,09,04,05,05,馬連,5-1,3.6,500
2026,0919,09,04,05,05,馬連,5-7,8.5,1000
2026,0919,09,04,05,05,三連複,5-2-8,37.7,4000
2026,0919,09,04,05,05,三連複,5-2-9,5.3,500
2026,0919,09,04,05,05,三連複,5-1-2,2.2,500
2026,0919,09,04,05,05,三連複,5-2-7,5.2,500
2026,0919,09,04,05,05,三連複,5-8-9,18.6,2000
2026,0919,09,04,05,05,三連複,5-1-8,7.8,1000
2026,0919,09,04,05,05,三連複,5-7-8,18.4,2000
2026,0919,09,04,05,05,三連複,5-1-9,1.1,500
2026,0919,09,04,05,05,三連複,5-7-9,2.6,500
2026,0919,09,04,05,05,三連複,5-1-7,1.1,500
2026,0919,09,04,05,06,馬連,3-10,35.9,3500
2026,0919,09,04,05,06,馬連,3-8,14.1,1500
2026,0919,09,04,05,06,馬連,3-4,8.8,1000
2026,0919,09,04,05,06,馬連,3-11,25.7,2500
2026,0919,09,04,05,06,馬連,3-5,15.5,1500
2026,0919,09,04,05,06,三連複,3-8-10,13.5,1500
2026,0919,09,04,05,06,三連複,3-4-10,8.4,1000
2026,0919,09,04,05,06,三連複,3-10-11,24.5,2500
2026,0919,09,04,05,06,三連複,3-5-10,14.8,1500
2026,0919,09,04,05,06,三連複,3-4-8,3.3,500
2026,0919,09,04,05,06,三連複,3-8-11,9.6,1000
2026,0919,09,04,05,06,三連複,3-5-8,5.8,500
2026,0919,09,04,05,06,三連複,3-4-11,6.0,500
2026,0919,09,04,05,06,三連複,3-4-5,3.6,500
2026,0919,09,04,05,06,三連複,3-5-11,10.6,1000
2026,0919,09,04,05,07,馬連,2-9,31.7,3000
2026,0919,09,04,05,07,馬連,2-1,27.4,2500
2026,0919,09,04,05,07,馬連,2-8,13.2,1500
2026,0919,09,04,05,07,馬連,2-10,10.6,1000
2026,0919,09,04,05,07,馬連,2-7,17.2,1500
2026,0919,09,04,05,07,三連複,2-1-9,22.6,2500
2026,0919,09,04,05,07,三連複,2-8-9,10.9,1000
2026,0919,09,04,05,07,三連複,2-9-10,8.7,1000
2026,0919,09,04,05,07,三連複,2-7-9,14.2,1500
2026,0919,09,04,05,07,三連複,2-1-8,9.5,1000
2026,0919,09,04,05,07,三連複,2-1-10,7.5,1000
2026,0919,09,04,05,07,三連複,2-1-7,12.3,1000
2026,0919,09,04,05,07,三連複,2-8-10,3.6,500
2026,0919,09,04,05,07,三連複,2-7-8,5.9,500
2026,0919,09,04,05,07,三連複,2-7-10,4.7,500
2026,0919,09,04,05,08,馬連,2-6,42.8,4500
2026,0919,09,04,05,08,馬連,2-1,27.0,2500
2026,0919,09,04,05,08,馬連,2-5,30.3,3000
2026,0919,09,04,05,08,三連複,2-1-6,35.3,3500
2026,0919,09,04,05,08,三連複,2-5-6,39.7,4000
2026,0919,09,04,05,08,三連複,2-1-5,25.0,2500
2026,0919,09,04,05,09,馬連,14-4,14.8,1500
2026,0919,09,04,05,09,馬連,14-8,15.0,1500
2026,0919,09,04,05,09,馬連,14-10,11.4,1000
2026,0919,09,04,05,09,馬連,14-5,23.5,2500
2026,0919,09,04,05,09,馬連,14-3,35.4,3500
2026,0919,09,04,05,09,三連複,14-4-8,5.8,500
2026,0919,09,04,05,09,三連複,14-4-10,4.4,500
2026,0919,09,04,05,09,三連複,14-4-5,9.1,1000
2026,0919,09,04,05,09,三連複,14-3-4,13.7,1500
2026,0919,09,04,05,09,三連複,14-8-10,4.5,500
2026,0919,09,04,05,09,三連複,14-5-8,9.2,1000
2026,0919,09,04,05,09,三連複,14-3-8,13.9,1500
2026,0919,09,04,05,09,三連複,14-5-10,7.0,500
2026,0919,09,04,05,09,三連複,14-3-10,10.6,1000
2026,0919,09,04,05,09,三連複,14-3-5,21.8,2000
